Model,MSE,RMSE,MAE,R²,CV R² Mean,CV R² Std
Linear Regression,4.69545064684031,2.166898854778485,1.7541086050032857,0.7488213960331431,0.4975027990020844,0.12283541825786408
Random Forest,5.805660484052718,2.4094938232028564,1.9820740178031855,0.6894317914998835,0.36589257441621414,0.15143210176020233
Gradient Boosting,6.883236429832557,2.623592275837188,2.145560817468737,0.631787905516036,0.3747538549283244,0.1433183656728981
Decision Tree (Tuned),9.654285023165649,3.107134535736367,2.429872134038801,0.48355333346998475,0.15318258675725177,0.1874322443233747
Decision Tree,14.273791660680189,3.778067185834602,3.052789802789803,0.23643728104009876,0.07213590319191583,0.08299555455592687
