Model,Test R²,Test RMSE,Test MAE,CV R² Mean,CV R² Std
Gradient Boosting,0.9600136959253358,0.653342927203847,0.525331230877488,0.9569503749942084,0.04662645920297778
Linear Regression,0.9591371038073722,0.6604654958427503,0.493140938803941,0.980251305829977,0.009567014351679733
SVR,0.9416932650516563,0.7889417210114783,0.5872822400343013,0.8671599681915669,0.10544869477054433
Random Forest,0.8738903624932166,1.1602717025863627,0.6668452246140734,0.8512195550744834,0.041051627597740115
Decision Tree (Reg),-0.4281333891817416,3.9045406473499584,1.3246381205060853,0.8272648165787366,0.18067053303976813
