Model,MSE,RMSE,MAE,R²,CV R² Mean,CV R² Std
SVR (RBF),2683.340580908952,51.800970849096565,29.784339296136586,0.9844221760444773,0.958924820850578,0.01872196484506987
Gradient Boosting,3259.547790930295,57.092449508935026,34.03385790426628,0.981077071608806,0.976914862196911,0.012685323752846776
Linear Regression,4752.829196711762,68.94076585527435,44.20133120867502,0.9724079988042501,0.9708205346764393,0.0058483918173648924
Random Forest,7428.86471410571,86.19086212647899,48.88892351688715,0.956872583551607,0.9606815005119642,0.026076263216292087
KNN,16845.803894256347,129.79138605568687,97.91024972283148,0.9022036303102859,0.8724637811725426,0.01915435516479635
